YEAR	DISTANCE	REGION.SITE	STALES	ALT	X	Y	TREE.RICHNESS	SHANNON	SOLAR.RAD	AGE	SMREK
2000	500	Baba_S TANAP	0.029441293	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2001	500	Baba_S TANAP	0.033177835	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2002	500	Baba_S TANAP	0.036846889	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2003	500	Baba_S TANAP	0.040025081	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2004	500	Baba_S TANAP	0.043018623	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2005	500	Baba_S TANAP	0.04474742	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2006	500	Baba_S TANAP	0.04536864	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2007	500	Baba_S TANAP	0.04536864	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2008	500	Baba_S TANAP	0.054130193	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2009	500	Baba_S TANAP	0.06317761	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2010	500	Baba_S TANAP	0.064854098	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2011	500	Baba_S TANAP	0.069883561	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2012	500	Baba_S TANAP	0.100361245	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2013	500	Baba_S TANAP	0.104831879	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2014	500	Baba_S TANAP	0.107616219	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2015	500	Baba_S TANAP	0.112102343	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2016	500	Baba_S TANAP	0.12092618	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2017	500	Baba_S TANAP	0.136014568	879	-338138.3131	-1198964.955	6	0.252768099	807302.5625	93.03571429	95.37007465
2000	2000	Baba_S TANAP	0.018322568	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2001	2000	Baba_S TANAP	0.019547923	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2002	2000	Baba_S TANAP	0.021148513	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2003	2000	Baba_S TANAP	0.023655011	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2004	2000	Baba_S TANAP	0.028076382	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2005	2000	Baba_S TANAP	0.034458949	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2006	2000	Baba_S TANAP	0.043090826	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2007	2000	Baba_S TANAP	0.056214765	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2008	2000	Baba_S TANAP	0.084265449	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2009	2000	Baba_S TANAP	0.116722708	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2010	2000	Baba_S TANAP	0.130725864	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2011	2000	Baba_S TANAP	0.132260002	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2012	2000	Baba_S TANAP	0.163925241	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2013	2000	Baba_S TANAP	0.178054012	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2014	2000	Baba_S TANAP	0.184048252	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2015	2000	Baba_S TANAP	0.186732749	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2016	2000	Baba_S TANAP	0.195569674	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2017	2000	Baba_S TANAP	0.207917493	869	-339353.0442	-1200499.004	8	0.323541112	801007.4375	93	94.07155011
2000	control	Baba_S TANAP	0.02215133	670	-450671.3162	-1149382.871	5	0.460885679	885658.5625	78.16666667	87.78676788
2001	control	Baba_S TANAP	0.026707135	670	-450671.3162	-1149382.871	5	0.460885679	885658.5625	78.16666667	87.78676788
2002	control	Baba_S TANAP	0.031667893	670	-450671.3162	-1149382.871	5	0.460885679	885658.5625	78.16666667	87.78676788
2003	control	Baba_S TANAP	0.036517775	670	-450671.3162	-1149382.871	5	0.460885679	885658.5625	78.16666667	87.78676788
2004	control	Baba_S TANAP	0.040988172	670	-450671.3162	-1149382.871	5	0.460885679	885658.5625	78.16666667	87.78676788
2005	control	Baba_S TANAP	0.045472086	670	-450671.3162	-1149382.871	5	0.460885679	885658.5625	78.16666667	87.78676788
2006	control	Baba_S TANAP	0.051284579	670	-450671.3162	-1149382.871	5	0.460885679	885658.5625	78.16666667	87.78676788
2007	control	Baba_S TANAP	0.062745302	670	-450671.3162	-1149382.871	5	0.460885679	885658.5625	78.16666667	87.78676788
2008	control	Baba_S TANAP	0.091775552	670	-450671.3162	-1149382.871	5	0.460885679	885658.5625	78.16666667	87.78676788
2009	control	Baba_S TANAP	0.135879952	670	-450671.3162	-1149382.871	5	0.460885679	885658.5625	78.16666667	87.78676788
